Segment,R,G,B,Assigned_Value
1,254,31,0,1e+21
2,254,59,0,6.135907273413188e+19
3,255,100,0,3.7649358067924557e+18
4,255,142,0,2.310129700083158e+17
5,255,182,0,1.4174741629268076e+16
6,255,213,0,869749002617783.4
7,254,240,0,53366992312063.016
8,254,253,0,3274549162877.732
9,249,254,0,200923300256.50458
10,235,255,0,12328467394.420633
11,208,255,0,756463327.5546291
12,170,255,0,46415888.33612773
13,128,255,0,2848035.868435793
14,94,255,0,174752.8400007683
15,53,255,0,10722.672220103253
16,21,255,0,657.9332246575656
17,3,255,0,40.3701725859655
18,0,255,1,2.4770763559917137
19,0,255,11,0.1519911082952927
20,0,255,35,0.00932603346883218
21,0,255,68,0.0005722367659350221
22,0,255,100,3.511191734215113e-05
23,0,254,145,2.154434690031878e-06
24,0,254,188,1.3219411484660288e-07
25,0,254,222,8.111308307896823e-09
26,0,254,244,4.977023564332093e-10
27,0,254,251,3.0538555088334125e-11
28,0,248,254,1.873817422860387e-12
29,0,229,255,1.1497569953977403e-13
30,0,206,254,7.054802310718573e-15
31,0,167,254,4.3287612810830263e-16
32,0,122,254,2.656087782946673e-17
33,0,80,254,1.6297508346206401e-18
34,0,42,255,1e-19
