Segment,R,G,B,PixelCount,PercentageArea
1,255,178,0,35,0.3416300634455832
7,255,168,0,15,0.14641288433382138
8,255,167,0,15,0.14641288433382138
10,255,170,0,54,0.527086383601757
12,255,197,0,109,1.0639336261591021
13,255,196,0,14,0.1366520253782333
14,255,179,0,19,0.18545632015617375
15,255,167,0,13,0.1268911664226452
16,255,168,0,12,0.1171303074670571
17,255,208,0,308,3.0063445583211323
22,255,203,0,22,0.214738897022938
23,255,185,0,22,0.214738897022938
24,255,210,0,8299,81.00536847242557
25,255,175,0,10,0.09760858955588092
26,255,184,0,20,0.19521717911176184
28,255,189,0,19,0.18545632015617375
29,255,223,0,341,3.3284529038555397
30,255,192,0,19,0.18545632015617375
32,255,240,0,885,8.638360175695462
34,255,175,0,14,0.1366520253782333
